Czas,Parking Wrońskiego,Polinka,D20 - D21,GEO LO1 Geocentrum,Architektura
2024-10-21 15:21:11,51,21,20,94,43
2024-10-21 15:21:26,51,21,20,94,43
2024-10-21 15:34:04,56,23,19,98,45
2024-10-21 15:44:19,69,23,22,106,51
2024-10-21 16:01:20,72,21,21,113,52
2024-10-21 16:03:29,75,21,21,114,53
2024-10-21 19:21:15,132,36,27,210,75
2024-10-21 19:34:54,135,37,28,213,75
2024-10-21 19:42:31,137,37,28,214,75
2024-10-21 19:43:48,137,37,27,214,75
2024-10-21 19:55:27,139,39,29,216,77
2024-10-21 20:25:01,154,41,37,219,81
2024-10-21 20:42:02,164,45,46,224,81
2024-10-21 20:53:02,169,45,47,226,81
2024-10-21 21:11:02,171,45,47,226,81
2024-10-21 21:25:01,171,45,46,227,81
2024-10-21 21:35:02,171,45,46,227,82
2024-10-21 21:44:02,171,45,46,227,82
